wav_filename,wav_filesize,transcript
/data/TEDxSK/cut/811_tedxsk_male_37.wav,15820,je
/data/TEDxSK/cut/811_tedxsk_male_38.wav,34252,nakoniec len
/data/TEDxSK/cut/811_tedxsk_male_39.wav,61420,fotónov šesťdesiat
/data/TEDxSK/cut/811_tedxsk_male_40.wav,183628,tak slabé je vlastné elektromagnetické optické žiarenie živých organizmov
/data/TEDxSK/cut/811_tedxsk_male_41.wav,97452,ako je zložité si aké je to zložité merať si môžete predstaviť
/data/TEDxSK/cut/811_tedxsk_male_42.wav,32428,aké zložité je zmerať
/data/TEDxSK/cut/811_tedxsk_male_43.wav,21452,svetlo
/data/TEDxSK/cut/811_tedxsk_male_44.wav,47596,tak takto náročná je aj naša práca
/data/TEDxSK/cut/811_tedxsk_male_45.wav,72748,napriek tomu fascinujúca 
/data/TEDxSK/cut/811_tedxsk_male_46.wav,110380,boli vyvinuté už v päťdesiatych rokoch minulého storočia prístroje detektory
/data/TEDxSK/cut/811_tedxsk_male_47.wav,29676,jedni z nich sú napríklad
/data/TEDxSK/cut/811_tedxsk_male_48.wav,53868,takzvané fotonásobiče 
/data/TEDxSK/cut/811_tedxsk_male_49.wav,55180,dopadne na vstup fotonásobiča 
/data/TEDxSK/cut/811_tedxsk_male_50.wav,43820,vyrazí z neho elektrón 
/data/TEDxSK/cut/811_tedxsk_male_51.wav,100012,ten je vo vnútornom poli fotonásobiča urýchlený 
/data/TEDxSK/cut/811_tedxsk_male_52.wav,90636,tam sa pomo ďalších pomocou ďalších kolízií namnoží a
/data/TEDxSK/cut/811_tedxsk_male_53.wav,114796,v podstate čo meriame na každý dopadnutý fotón zjednodušene povedané 
/data/TEDxSK/cut/811_tedxsk_male_54.wav,33772,umožňuje 
/data/TEDxSK/cut/811_tedxsk_male_55.wav,40812,existujú ale aj
/data/TEDxSK/cut/811_tedxsk_male_56.wav,40012,iné techniky 
/data/TEDxSK/cut/811_tedxsk_male_57.wav,26636,ktoré
/data/TEDxSK/cut/811_tedxsk_male_58.wav,103052,a tieto dokonca umožňujú vytvárať obrázky zobrazovať toto žiarenie
/data/TEDxSK/cut/811_tedxsk_male_59.wav,231532,takými technikami napríklad sú založené na kamerách niečo podobné ako máte v digitálnych fotoaparátoch akurát že s oveľa nižším šumom a oveľa väčšou citlivosťou
/data/TEDxSK/cut/811_tedxsk_male_60.wav,36972,na obrázku 
/data/TEDxSK/cut/811_tedxsk_male_61.wav,99052,vpravo vidíme obyčajnú fotku čiernobielu fotku rúk
/data/TEDxSK/cut/811_tedxsk_male_62.wav,126828,spontánneho vyžarovania z lúk čo z toho z tých istých rúk toho toto istého človeka
/data/TEDxSK/cut/811_tedxsk_male_63.wav,52364,tieto fotky pochádzajú 
/data/TEDxSK/cut/811_tedxsk_male_64.wav,75340,alebo aspoň čiastočne pochopiť aké sú
/data/TEDxSK/cut/811_tedxsk_male_65.wav,77676,mechanizmy aké procesy generujú 
/data/TEDxSK/cut/811_tedxsk_male_66.wav,54700,zistili zistilo sa
/data/TEDxSK/cut/811_tedxsk_male_67.wav,84492,že svetlo z organizmov nie je tepelného pôvodu
/data/TEDxSK/cut/811_tedxsk_male_68.wav,77804,nesúvisia teda nesúvisí teda s tým že 
/data/TEDxSK/cut/811_tedxsk_male_69.wav,63372,objekt má istú makroskopickú teplotu
/data/TEDxSK/cut/811_tedxsk_male_70.wav,80812,teda to nie je tepelné žiarenie o ktorom tu hovoríme
/data/TEDxSK/cut/811_tedxsk_male_71.wav,190220,čo dosiaľ doposiaľ známe vieme že zdrojom tohto slabého žiarenia je takzvané takzvaná 
/data/TEDxSK/cut/811_tedxsk_male_72.wav,67180,majme dve molekuly a 
/data/TEDxSK/cut/811_tedxsk_male_73.wav,48748,ktoré spolu zreagujú
/data/TEDxSK/cut/811_tedxsk_male_74.wav,104044,vytvoria takzvanú molekulu produktu ktorá je v takzvanom vybudenom stave
/data/TEDxSK/cut/811_tedxsk_male_75.wav,129036,tá má vybudený stav znamená že má elektrón vo vyššej energetickej energiovej hladine hladiny 
/data/TEDxSK/cut/811_tedxsk_male_76.wav,116012,tento elektrón po istom čase padne na nižšiu energetickú energiovú úroveň
/data/TEDxSK/cut/811_tedxsk_male_77.wav,90668,a vyžiari fotón a toto je vlastne mechanizmus 
/data/TEDxSK/cut/811_tedxsk_male_78.wav,19436,ktorým 
/data/TEDxSK/cut/811_tedxsk_male_79.wav,118060,tieto reakcie súvisia hlavne s metabolizmom a stresom stresov organizmov organizmom
/data/TEDxSK/cut/811_tedxsk_male_80.wav,101228,a jedná sa zvlášť o reakcie takzvaných voľných radikálov
/data/TEDxSK/cut/811_tedxsk_male_81.wav,38668,o ktorých ste možno počuli 
/data/TEDxSK/cut/811_tedxsk_male_82.wav,42028,a reaktívnych kyslíkových foriem
/data/TEDxSK/cut/811_tedxsk_male_83.wav,69836,celého spektra elektromagnetického žiarenia
/data/TEDxSK/cut/811_tedxsk_male_84.wav,83660,v podstate je to elektromagnetické žiarenie
/data/TEDxSK/cut/811_tedxsk_male_85.wav,57580,ktoré pokiaľ má dostatočnú intenzitu silu
/data/TEDxSK/cut/811_tedxsk_male_86.wav,53132,tak ho vnímame ako farby 
/data/TEDxSK/cut/811_tedxsk_male_87.wav,152972,ale v skutočnosti s elektromagnetické spektrum je oveľa širšie má neskutočné množstvo farieb 
/data/TEDxSK/cut/811_tedxsk_male_88.wav,159788,ktoré si ale nem nedokážeme vnímať nedokážeme interpretovať iba ich matematicky popisujeme ako frekvenciu určitým číslom 
/data/TEDxSK/cut/811_tedxsk_male_89.wav,63820,sú experimenty ktoré ukazujú
/data/TEDxSK/cut/811_tedxsk_male_90.wav,116556,sú zdrojom nielen slabého svetla teda viditeľného žiarenia 
/data/TEDxSK/cut/811_tedxsk_male_91.wav,119244,ale aj elektromagnetického žiarenia v iných spektrálnych oblastiach 
/data/TEDxSK/cut/811_tedxsk_male_92.wav,117228,v biológii je obecne akceptované že živé organizmy
/data/TEDxSK/cut/811_tedxsk_male_93.wav,81836,u vyšších organizmov existuje aj interakcia 
/data/TEDxSK/cut/811_tedxsk_male_94.wav,141036,elektrická ako bolo spomínané v nervovej sústave vo svaloch napríklad 
/data/TEDxSK/cut/811_tedxsk_male_95.wav,47052,existujú ale experimenty
/data/TEDxSK/cut/811_tedxsk_male_96.wav,85196,ktoré ukazujú že
/data/TEDxSK/cut/811_tedxsk_male_97.wav,85516,aj chemicky oddelené organizmy
/data/TEDxSK/cut/811_tedxsk_male_98.wav,50284,dve oddelené 
/data/TEDxSK/cut/811_tedxsk_male_99.wav,182444,bunkové kultúry napríklad alebo dva organizmy sú schopné navzájom interagovať bez toho aby si vymieňali molekuly 
/data/TEDxSK/cut/811_tedxsk_male_100.wav,58700,ako na to vedci prišli 
/data/TEDxSK/cut/811_tedxsk_male_101.wav,58028,že da že máte dva organizmy
/data/TEDxSK/cut/811_tedxsk_male_102.wav,71628,väčšinou sa používajú jednoduché bunkové kultúry 
/data/TEDxSK/cut/811_tedxsk_male_103.wav,81804,ktoré sú v dvoch rozdielnych nádobách 
/data/TEDxSK/cut/811_tedxsk_male_104.wav,188620,a tieto nádoby sú chemicky oddelené aby nedochádzalo k transportu molekúl medzi nimi aby sme vylúčili chemický kontakt 
/data/TEDxSK/cut/811_tedxsk_male_105.wav,156780,a tieto nádoby sú priepustné pre určitú farbu pre určité frekvencie 
/data/TEDxSK/cut/811_tedxsk_male_106.wav,99596,a práve takto vedci zistili sledovali sledujúc tu odozvu 
/data/TEDxSK/cut/811_tedxsk_male_107.wav,111308,že dochádza k interakciám ktoré sú iného charakteru než chemického
/data/TEDxSK/cut/811_tedxsk_male_108.wav,80588,existujú teda experimenty od viacerých autorov
/data/TEDxSK/cut/811_tedxsk_male_109.wav,194092,kde boli skúmané viaceré druhy organizmov od kvasiniek baktérií červených krviniek entoliálnych buniek 
/data/TEDxSK/cut/811_tedxsk_male_110.wav,51116,semien embryí 
/data/TEDxSK/cut/811_tedxsk_male_111.wav,38508,a ďalších 
/data/TEDxSK/cut/811_tedxsk_male_112.wav,130860,ktoré ukazujú že široké spektrum množstvo rôznych druhov organizmov 
/data/TEDxSK/cut/811_tedxsk_male_113.wav,65612,je schopné skutočne interagovať 
/data/TEDxSK/cut/811_tedxsk_male_114.wav,31564,nielen chemicky
/data/TEDxSK/cut/811_tedxsk_male_115.wav,85196,ale aj elektromagneticky 
/data/TEDxSK/cut/811_tedxsk_male_116.wav,58700,a bolo pozorované napríklad to 
/data/TEDxSK/cut/811_tedxsk_male_117.wav,127852,že pokiaľ bola jedna kultúra stimulovaná k rýchlejšiemu rastu 
/data/TEDxSK/cut/811_tedxsk_male_118.wav,217900,tak reagoval na to zrýchlenie rastu u druhej u tej prvej kultúry ktorá bola stimulovaná 
/data/TEDxSK/cut/811_tedxsk_male_119.wav,53708,to je samozrejme veľmi fascinujúce
/data/TEDxSK/cut/811_tedxsk_male_120.wav,217036,pokiaľ tieto efe pokiaľ tieto fenomény sú skutočne skutočne existujúce pretože ich existuje deviat niekoľko desiatok ale stále nie sú obecne akceptované 
/data/TEDxSK/cut/811_tedxsk_male_121.wav,168748,čo sú možné elektromagnetické ústa zdroje v bunkách v organizmoch a čo sú uši
/data/TEDxSK/cut/811_tedxsk_male_122.wav,43884,pokiaľ existuje
/data/TEDxSK/cut/811_tedxsk_male_123.wav,84172,špecifická interakcia špecifická komunikácia medzi
/data/TEDxSK/cut/811_tedxsk_male_124.wav,71820,ale nesú skutočne špecifickú informáciu 
/data/TEDxSK/cut/811_tedxsk_male_125.wav,73996,existuje niečo ako elektromagnetická abeceda
/data/TEDxSK/cut/811_tedxsk_male_126.wav,31852,potom čo sú tie
/data/TEDxSK/cut/811_tedxsk_male_127.wav,66988,písmená ktoré sa skladajú do slov 
/data/TEDxSK/cut/811_tedxsk_male_128.wav,58188,ako navzájom organizmy môžu komunikovať
/data/TEDxSK/cut/811_tedxsk_male_129.wav,102380,budeme schopní predpokladám vyvinúť citlivejšie detektory
/data/TEDxSK/cut/811_tedxsk_male_130.wav,161132,aby sme mohli toto slabé elektromagnetické biologické žiarenie merať a vyhodnocovať
/data/TEDxSK/cut/811_tedxsk_male_131.wav,64556,aby sme pochopili odhalili 
/data/TEDxSK/cut/811_tedxsk_male_132.wav,84332,prvé písmená a slová elektromagnetickej
/data/TEDxSK/cut/811_tedxsk_male_133.wav,26348,abecedy
/data/TEDxSK/cut/811_tedxsk_male_134.wav,38156,buniek a organizmov
/data/TEDxSK/cut/811_tedxsk_male_135.wav,41004,to bude viesť samozrejme 
/data/TEDxSK/cut/811_tedxsk_male_136.wav,182636,k novým formám diagnostiky pretože budeme počuť čo bunka hovorí o svojich fyziologických procesoch 
/data/TEDxSK/cut/811_tedxsk_male_137.wav,65612,aké signály aké signály posiela
/data/TEDxSK/cut/811_tedxsk_male_138.wav,142092,na staré kolená našej generácie alebo dúfam čo budeme mô čo budú môcť očakávať naše deti
/data/TEDxSK/cut/811_tedxsk_male_139.wav,103916,a je to skutočne tak ako to experimenty naznačujú že tento fenomén existuje
/data/TEDxSK/cut/811_tedxsk_male_140.wav,55916,boli by sme schopní 
/data/TEDxSK/cut/811_tedxsk_male_141.wav,148364,selektívne neinvazívne a šetrne spúšťať konkrétne biologické procesy 
/data/TEDxSK/cut/811_tedxsk_male_142.wav,83628,napríklad v ľudskej terapii v ľudskej medicíne 
/data/TEDxSK/cut/811_tedxsk_male_143.wav,44428,spúšťať procesy liečenia 
/data/TEDxSK/cut/811_tedxsk_male_144.wav,32780,a regenerácie 
/data/TEDxSK/cut/811_tedxsk_male_145.wav,21804,ktoré 
/data/TEDxSK/cut/811_tedxsk_male_146.wav,137868,niekedy je to oveľa zložitejšie urobiť chemicky takže my by sme to mohli urobiť spôsobom ktorý je šetrný 
/data/TEDxSK/cut/811_tedxsk_male_147.wav,40076,a neinvazívny 
/data/TEDxSK/cut/811_tedxsk_male_148.wav,25228,takže niečo
/data/TEDxSK/cut/811_tedxsk_male_149.wav,126444,chcel by som tu zhrnúť aký je aktuálny stav aby ste začínali od niečoho čo je seriózne 
/data/TEDxSK/cut/811_tedxsk_male_150.wav,85740,že všetky organizmy ktoré sú metabolicky aktívne 
/data/TEDxSK/cut/811_tedxsk_male_151.wav,124492,sú zdrojom merateľného ultraslabého elektromagnetického žiarenia v optickej oblasti
/data/TEDxSK/cut/811_tedxsk_male_152.wav,104908,ďalej aj keď sú biológovia trochu skeptickí
/data/TEDxSK/cut/811_tedxsk_male_153.wav,53996,je niekoľko desiatok článkov a kníh
/data/TEDxSK/cut/811_tedxsk_male_154.wav,105164,experimentálnych kde sa experimentálne potvrdzuje 
/data/TEDxSK/cut/811_tedxsk_male_155.wav,115020,že skutočne oddelené chemicky oddelené organizmy sú schopné navzájom 
/data/TEDxSK/cut/811_tedxsk_male_156.wav,60748,interagovať elektromagneticky 
/data/TEDxSK/cut/811_tedxsk_male_157.wav,40332,ďakujem vám 
/data/TEDxSK/cut/812_tedxsk_male_158.wav,79724,takže toto bude pravdepodobne tiež dosť rýchle 
/data/TEDxSK/cut/812_tedxsk_male_159.wav,78860,ale ja tým že o nich už rozprávam dosť často som si povedal že 
/data/TEDxSK/cut/812_tedxsk_male_160.wav,45388,že už ma to moc nebaví 
/data/TEDxSK/cut/812_tedxsk_male_161.wav,218156,a že tým že vás tu je vlastne sedemsto a som si vyrátal tie štyri únikové východy a že ani keby ste chceli tak sa za tých osem minút asi nestihnete odtiaľto vypratať 
/data/TEDxSK/cut/812_tedxsk_male_162.wav,199340,takže by som vám možno povedal niečo iné a že by som vám povedal možno niečo čo z môjho pohľadu je sú naozaj myšlienky hodné šírenia alebo ktoré si ja myslím 
/data/TEDxSK/cut/812_tedxsk_male_163.wav,173132,keďže tu je veľa vedcov tak ja som urobil veľa naozaj extrémnych pokusov ako môžete vidieť a chcel som teda aj ja pôsobiť dosť vedecky 
/data/TEDxSK/cut/812_tedxsk_male_164.wav,82732,a a zistil som že za všetko môžu teda oni
/data/TEDxSK/cut/812_tedxsk_male_165.wav,57356,také tie krčmové reči ako vždy vždy 
/data/TEDxSK/cut/812_tedxsk_male_166.wav,76844,oni hore tam niečo zle urobili a my my nemôžeme za nič 
/data/TEDxSK/cut/812_tedxsk_male_167.wav,13036,a
/data/TEDxSK/cut/812_tedxsk_male_168.wav,104908,teda pochopil som že oni to za nás nespravia oni to za nás nespravia krajšie ani lepšie
/data/TEDxSK/cut/812_tedxsk_male_169.wav,98476,každý z nich tam je pre nejaké svoje dôvody a a nejdem ich vôbec teraz rozoberať
/data/TEDxSK/cut/812_tedxsk_male_170.wav,181772,pretože oni pravdepodobne v nejakom najbližšej v najbližšej dobe nič nespravia ale verím tomu že raz bude situácia že aj oni niečo spravia pekné 
/data/TEDxSK/cut/812_tedxsk_male_171.wav,46316,neurobí to za nás ani ona
/data/TEDxSK/cut/812_tedxsk_male_172.wav,70188,keďže som chcel aby ste ma brali vážne keďže som tu
/data/TEDxSK/cut/812_tedxsk_male_173.wav,135820,pravdepodobne asi najmladší rečník tak som tomu chcel dať takú naozaj formu že aby ste že to je naozaj seriózna vec 
/data/TEDxSK/cut/812_tedxsk_male_174.wav,56364,pozor konfety to si všimnite 
/data/TEDxSK/cut/812_tedxsk_male_175.wav,74860,euro päťdesiat nekupujte si také konfety 
/data/TEDxSK/cut/812_tedxsk_male_176.wav,171660,za päť rokov úplne jednoducho bez peňazí z eurofondov bez nejakých miliárd bez bez ničoho iba my sami 
/data/TEDxSK/cut/812_tedxsk_male_177.wav,41388,a prečo operačný program
/data/TEDxSK/cut/812_tedxsk_male_178.wav,91884,textu alebo aj desať tisíc strán to je jedno musí tam byť nejaký zbytočný text 
/data/TEDxSK/cut/812_tedxsk_male_179.wav,84748,a samolepky ktoré bohužiaľ ale som nestihol vytlačiť
/data/TEDxSK/cut/812_tedxsk_male_180.wav,132556,nemám samolepky
/data/TEDxSK/cut/812_tedxsk_male_181.wav,86636,no a po tomto rozpačitom úvode keď ste si povedali že čo tu tento chlapec chce
/data/TEDxSK/cut/812_tedxsk_male_182.wav,81996,teraz prejdem k tým reálnym piatim cieľom alebo piatim problémom
/data/TEDxSK/cut/812_tedxsk_male_183.wav,114412,prvá z vecí ktoré mne vadí všeobecne na nás je je nejakým spôsobom apatia 
/data/TEDxSK/cut/812_tedxsk_male_184.wav,143884,ktorá je v nás asi zakorenená aj dlhodobo možno aj aj ks svojím spôsobom aj akože ako v národe 
/data/TEDxSK/cut/812_tedxsk_male_185.wav,186668,a že sme zvyknutí že už po tých dvadsiatich rokoch si často povieme že proste to nemá zmysel a že to možno nevyzerá tak ako sme chceli 
/data/TEDxSK/cut/812_tedxsk_male_186.wav,206732,a to je veľký problém pretože akonáhle tá apatia prerastie už do takej všeobecnej nálady spoločnosti ktorá možno ja mám pocit že aj teraz v niektorých sférach je 
/data/TEDxSK/cut/812_tedxsk_male_187.wav,160044,tak sa tie veci nikdy neposunú dopredu a tú apatiu treba naozaj zatrieť a treba sa na ňu vykašľať a treba sa posunúť ďalej 
/data/TEDxSK/cut/812_tedxsk_male_188.wav,160204,druhý bod ktorý by sme mali podľa mňa tiež zlepšiť je nejakým spôsobom lokálnosť ale budovanie alebo budovanie komunít 
/data/TEDxSK/cut/812_tedxsk_male_189.wav,229708,tam je niekoľko niekoľko vecí na ktoré sa tam dá pozrieť a samozrejme jedna je že od toho že naozaj si kupovať lokálne potraviny a tak do čoho nechcem úplne zachádzať 
/data/TEDxSK/cut/812_tedxsk_male_190.wav,49740,ale aj také drobnosti ako že 
/data/TEDxSK/cut/812_tedxsk_male_191.wav,88140,a že možno aj aj toto je jedna z vecí na ktorú by sme sa proste mohli pozrieť
/data/TEDxSK/cut/812_tedxsk_male_192.wav,134860,a ďalšia vec je že sa zaujímať o dianie ktoré sa deje v našich lokálnych samosprávach 
/data/TEDxSK/cut/812_tedxsk_male_193.wav,73932,sú to veci ktoré naozaj nás nás zasahujú 
/data/TEDxSK/cut/812_tedxsk_male_194.wav,113004,a je to chyba lebo by som tam mal ísť a mal by som sa zaujímať čo sa tam deje a ako to okolo mňa bude 
/data/TEDxSK/cut/812_tedxsk_male_195.wav,68972,takže v tomto sa musím aj ja výrazne zlepšiť 
/data/TEDxSK/cut/812_tedxsk_male_196.wav,55340,ktorý súvisí aj s tým že 
/data/TEDxSK/cut/812_tedxsk_male_197.wav,109228,málokto z nás ide za lekárom a keď mu lekár povie že že teda máte zápal pľúc
/data/TEDxSK/cut/812_tedxsk_male_198.wav,85836,tak on sa tam s ním začne hádať že to to nie je to je črevná chrípka 
/data/TEDxSK/cut/812_tedxsk_male_199.wav,23500,pán doktor 
/data/TEDxSK/cut/812_tedxsk_male_200.wav,107596,a že by sme mali trošku si uvedomiť že keď sú nejaké povolania tak ich akože rešpektovať 
/data/TEDxSK/cut/812_tedxsk_male_201.wav,237420,a tak isto to súvisí aj s tým že veľa ľudí robí veci ktoré ich nebavia a potom ich robia zle a potom šíria zlú energiu a potom je to proste jeden obrovský kolotoč ktorý nefunguje 
/data/TEDxSK/cut/812_tedxsk_male_202.wav,188716,takže ak robíte niečo čo vás nebaví tak by ste naozaj mali nad tým porozmýšľať či to ne nechcete zmeniť lebo ten život máte iba jeden a je to zbytočná vec
/data/TEDxSK/cut/812_tedxsk_male_203.wav,111116,ale vždy ma fascinuje nejakým spôsobom taká tá slovenská potreba mať ho na všetko
/data/TEDxSK/cut/812_tedxsk_male_204.wav,26220,ako už zaznelo
/data/TEDxSK/cut/812_tedxsk_male_205.wav,214828,zazneli tie genetické veci ráno keby ste sa ma pýtali na môj názor tak ja ho neviem adekvátne povedať či je dobrý alebo zlý lebo to nie je moja moja téma proste 
/data/TEDxSK/cut/812_tedxsk_male_206.wav,106796,ale ako keby tu bol taký konsenzus spoločenský že musím povedať áno alebo nie
/data/TEDxSK/cut/812_tedxsk_male_207.wav,43020,nemôžem povedať že proste neviem 
/data/TEDxSK/cut/812_tedxsk_male_208.wav,83916,a podľa mňa nie je hriech povedať niekedy neviem keď to neviete 
/data/TEDxSK/cut/812_tedxsk_male_209.wav,159692,štvrtý bod sú peniaze keďže peniaze formujú ten svet ktorý žijeme a a nedá sa to nejak zmeniť 
/data/TEDxSK/cut/812_tedxsk_male_210.wav,95852,a možno by sme mali viacej rozmýšľať nad tým že komu tie peniaze dávame 
/data/TEDxSK/cut/812_tedxsk_male_211.wav,67212,keďže práve taký svet tu potom budeme žiť
/data/TEDxSK/cut/812_tedxsk_male_212.wav,101580,keď budeme chodiť do reštaurácií kde nám nedajú tú čistú vodu zadarmo 
/data/TEDxSK/cut/812_tedxsk_male_213.wav,106220,tak také reštaurácie budú ďalej vznikať a oni si budú myslieť že to robia dobre 
/data/TEDxSK/cut/812_tedxsk_male_214.wav,91244,keď máme chodiť do reštaurácie kde je zlá obsluha a ešte horšie jedlo 
/data/TEDxSK/cut/812_tedxsk_male_215.wav,47148,tak takých reštaurácií bude vznikať ďalej
/data/TEDxSK/cut/812_tedxsk_male_216.wav,106508,takže tam proste netreba chodiť a treba ich nechať skrachovať aby mohli vzniknúť reštaurácie
/data/TEDxSK/cut/812_tedxsk_male_217.wav,61836,a ktoré budú robiť ľudia ktorí ich budú mať radi 
/data/TEDxSK/cut/812_tedxsk_male_218.wav,72876,a ktorí budú robiť veci ako sa nám páčia 
/data/TEDxSK/cut/812_tedxsk_male_219.wav,40332,keďže tie peniaze to naozaj tvoria
/data/TEDxSK/cut/812_tedxsk_male_220.wav,78284,to súvisí aj podľa mňa so supermarketmi a so všetkým 
/data/TEDxSK/cut/812_tedxsk_male_221.wav,135052,ale národná hrdosť nie v štýle že si dám teraz dvojkríž na tričko a pôjdem niekde pôjdem niekde pochodovať
/data/TEDxSK/cut/812_tedxsk_male_222.wav,53132,alebo že pôjdem niekoho zbiť 
/data/TEDxSK/cut/812_tedxsk_male_223.wav,35948,niekedy stačí naozaj
/data/TEDxSK/cut/812_tedxsk_male_224.wav,128012,fakt ako to robí zelená hliadka pozbierať smeti a to je to je to je najkrajší prejav národnej hrdosti
/data/TEDxSK/cut/812_tedxsk_male_225.wav,189708,tak okrem toho že budem frflať dvadsať minút tak poviem aj niečo sympatické lebo oni si potom o nás budú myslieť že keď si to my sami myslíme že toto je zlé
/data/TEDxSK/cut/812_tedxsk_male_226.wav,49452,tak si to už bude myslieť o nás celý svet 
/data/TEDxSK/cut/812_tedxsk_male_227.wav,78572,takže tá hrdosť sa dá robiť úplne inak 
/data/TEDxSK/cut/812_tedxsk_male_228.wav,47596,ale aby sme to stihli za tých päť rokov
/data/TEDxSK/cut/812_tedxsk_male_229.wav,47948,musíme to musíme to začať dnes
/data/TEDxSK/cut/812_tedxsk_male_230.wav,118156,ale ako povedala moja mama operačný program akože bez grafu nie je operačný program
/data/TEDxSK/cut/812_tedxsk_male_231.wav,41516,mám graf
/data/TEDxSK/cut/812_tedxsk_male_232.wav,22764,ďakujem
/data/TEDxSK/cut/812_tedxsk_male_233.wav,98124,toto si naozaj zaslúži potlesk lebo sú to si silné štatistické dáta 
/data/TEDxSK/cut/812_tedxsk_male_234.wav,166028,je to vidieť že v roku dve tisíc šestnásť je je taký menší pokles ak ste si všimli ale potom to krásne dáme hore 
/data/TEDxSK/cut/812_tedxsk_male_235.wav,135532,sú to všetky veci ktoré vieme ktoré aj ja veľmi dobre viem ale niektoré z nich nerobím a chcem sa v tom aj ja zlepšiť
/data/TEDxSK/cut/812_tedxsk_male_236.wav,296108,stačí niekedy pred seba pustiť človeka s menším nákupom čo je úplne jednoduchá vec a vy mu urobíte krajší deň je to totálna drobnosť a je to podľa mňa mne mne toto naozaj strašne vie urobiť lepší deň
/data/TEDxSK/cut/812_tedxsk_male_237.wav,162924,treba sa ísť pozrieť na to mestské alebo oc alebo obecné zastupiteľstvo a treba ich kontrolovať čo robia lebo oni si budú robiť čo chcú
/data/TEDxSK/cut/812_tedxsk_male_238.wav,80780,keď budú vidieť že to nikoho nezaujíma ako si aj robia 
